trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1091,False,"{'a': 0.6, 'e': 0.019672383241769665}",25,18,14.129737184674301,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1092,False,"{'a': 0.6, 'e': 0.019365055095651458}",25,2,37.96618916595311,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1093,False,"{'a': 0.6, 'e': 0.01906132515392003}",25,8,28.882084056222578,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1094,False,"{'a': 0.6, 'e': 0.018761170269451843}",30,10,42.31145571229649,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1095,False,"{'a': 0.6, 'e': 0.01846456719329023}",35,18,30.676583802951193,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1096,False,"{'a': 0.6, 'e': 0.01817149257785304}",25,8,32.65710518459304,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1097,False,"{'a': 0.6, 'e': 0.017881922980150382}",20,10,20.120473799977795,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1098,False,"{'a': 0.6, 'e': 0.017595834865009694}",20,8,21.093260517992423,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1099,False,"{'a': 0.6, 'e': 0.017313204608309825}",30,10,35.07610799485028,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1100,False,"{'a': 0.6, 'e': 0.017034008500220913}",25,15,14.165044196546663,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1101,False,"{'a': 0.6, 'e': 0.0167582227484517}",35,18,34.57587312513839,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1102,False,"{'a': 0.6, 'e': 0.01648582348150137}",30,8,41.24922246001005,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1103,False,"{'a': 0.6, 'e': 0.016216786751917216}",25,10,29.411547832846217,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1104,False,"{'a': 0.6, 'e': 0.0159510885395555}",20,6,24.320518161337684,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1105,False,"{'a': 0.6, 'e': 0.015688704754846582}",20,7,23.706532247892675,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1106,False,"{'a': 0.6, 'e': 0.015429611242061776}",30,20,18.337719322352598,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1107,False,"{'a': 0.6, 'e': 0.01517378378258307}",20,6,25.059637112534105,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1108,False,"{'a': 0.6, 'e': 0.014921198098172998}",30,3,40.69963241646102,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
1109,False,"{'a': 0.6, 'e': 0.014671829854245963}",25,17,13.96674542580283,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
