trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.7, 'e': 0.8645438740756395}",20,0,-238.06170409236245,"{0: 7, 1: 4, 2: 3, 3: 2, 4: 4}",0
96,False,"{'a': 0.7, 'e': 0.3374832940844236}",30,0,-73.91128994187122,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
97,False,"{'a': 0.7, 'e': 0.3483009524366382}",20,0,-41.231930372322076,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.7, 'e': 0.8702738186742403}",20,0,-140.6825176598395,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 3}",0
99,False,"{'a': 0.7, 'e': 0.982943309585819}",20,0,-68.59281948800245,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
100,False,"{'a': 0.7, 'e': 0.6333192030862999}",20,0,-93.08948983439963,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
101,False,"{'a': 0.7, 'e': 0.014164820510217698}",20,0,-12.562327838324123,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
102,False,"{'a': 0.7, 'e': 0.654986907689365}",30,0,-82.99321197826823,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
103,False,"{'a': 0.7, 'e': 0.9877584177294543}",30,0,-62.51884952601088,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",1
104,False,"{'a': 0.7, 'e': 0.855971709760354}",25,0,-83.45651445041412,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
105,False,"{'a': 0.7, 'e': 0.32160813176404734}",25,0,-76.80149284794375,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
106,False,"{'a': 0.7, 'e': 0.36401277586655806}",30,8,-1.9581454351553433,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 0.8784327871506125}",20,0,-41.5468103409519,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
108,False,"{'a': 0.7, 'e': 0.9797121327468065}",20,0,-69.50392326400757,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
109,False,"{'a': 0.7, 'e': 0.6202175538878211}",25,0,-11.620163065670763,"{0: 21, 1: 3, 2: 0, 3: 1, 4: 0}",0
110,False,"{'a': 0.7, 'e': 0.03097503173121646}",30,13,26.443857503964267,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 0.6675995759288305}",25,0,-32.02606059072393,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
112,False,"{'a': 0.7, 'e': 0.9902416080360025}",35,22,-23.357940459636403,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 0.8471575389318963}",20,0,-79.76769279570584,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
